S&P/ASX 200 Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
WBC,Westpac Banking Corp,Financials,"85,380,200,000",4.56,,,
WEB,Webjet Limited,Consumer Discretionary,"1,296,350,000",0.07,,,
WES,Wesfarmers Limited,Consumer Discretionary,"46,090,600,000",2.46,,,
WHC,Whitehaven Coal,Energy,"2,052,090,000",0.11,,,
WOR,Worley Limited,Energy,"6,515,240,000",0.35,,,
WOW,Woolworths Group Limited,Consumer Staples,"48,935,200,000",2.62,,,
WPL,Woodside Petroleum,Energy,"26,308,700,000",1.41,,,
WSA,Western Areas Limited,Materials,"662,464,000",0.04,,,
WTC,Wisetech Global Limited,Information Technology,"4,806,530,000",0.26,,,
XRO,Xero Limited,Information Technology,"10,440,600,000",0.56,,,
